PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,,0.43,EC50,=,430,nM
2,124957885,51356808,C1=CC=C2C(=C1)C=CC=C2C3=C(NN4C3=NC(=CC4=O)CCl)C(F)(F)F,Active,,,,1.25,EC50,=,1250,nM
3,124957886,51357367,C1=CC(=CC=C1C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(C=C4F)F)F)C(F)(F)F)Cl,Active,,,,0.21,EC50,=,210,nM
4,124960496,51357086,COC1=CC=C(C=C1)C2=CC(=O)N3C(=N2)C(=C(N3)C(F)(F)F)C4=CC=CC=C4,Active,,,,1.93,EC50,=,1930,nM
5,124963230,49839301,C1=CC=C2C(=C1)C=CC=C2C3=C(NN4C3=NC(=CC4=O)C(F)(F)F)C(F)(F)F,Active,,,,4.98,EC50,=,4980,nM
6,124965759,49839304,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)CCl)C(F)(F)F,Active,,,,2.27,EC50,=,2270,nM
7,124965761,51357085,C1=CC(=CC=C1C2=C(NN3C2=NC(=CC3=O)CCl)C(F)(F)F)Cl,Active,,,,2.33,EC50,=,2330,nM
8,124965762,51357088,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(C(=C4F)F)F)F)C(F)(F)F,Active,,,,0.6,EC50,=,600,nM
9,124965763,51357364,C1=CSC(=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(C(=C4F)F)F)F)C(F)(F)F,Active,,,,0.16,EC50,=,160,nM
10,124965764,51357366,C1=CC(=CC=C1C2=C(NN3C2=NC(=CC3=O)C(F)(F)F)C(F)(F)F)Cl,Active,,,,2.06,EC50,=,2060,nM
11,124966041,51357087,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C(F)F)C(F)(F)F,Active,,,,4.29,EC50,=,4290,nM
12,124968432,2810971,CC(C)(C)C1=CC(=O)N2C(=N1)C(=C(N2)C(F)(F)F)C3=CC=CC=C3,Active,,,,6.19,EC50,=,6190,nM
13,124968433,51357089,COC1=C(C=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(N=C4Cl)Cl)F)C(F)(F)F)OC,Active,,,,0.23,EC50,=,230,nM
14,124968551,2810974,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=CC=C4)[N+](=O)[O-])C(F)(F)F,Active,,,,0.57,EC50,=,570,nM
15,124968672,2810973,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C(F)(F)F)C(F)(F)F,Active,,,,1.46,EC50,=,1460,nM
16,124973862,51357365,CC(C)(C)C1=CC(=O)N2C(=N1)C(=C(N2)C(F)(F)F)C3=CC=CC4=CC=CC=C43,Unspecified,,,,19.3,EC50,=,19300,nM
17,124973901,51351552,C1=CC=C2C(=C1)C=CC=C2C3=C(NN4C3=NC(=CC4=O)C5=CC(=C(N=C5Cl)Cl)F)C(F)(F)F,Active,,,,0.15,EC50,=,150,nM
18,124976248,51351551,C1=CC=C(C=C1)C2=C(NN3C2=NC(=CC3=O)C4=CC(=C(N=C4Cl)Cl)F)C(F)(F)F,Active,,,,0.06,EC50,=,60,nM
19,124976249,51357363,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=O)N3C(=N2)C(=C(N3)C(F)(F)F)C4=CC=CS4,Active,,,,0.58,EC50,=,580,nM
