PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,,1.3,EC50,=,1300,nM
2,103312883,9949648,C[C@@H](C1=CC(=CC=C1)N2CCOCC2)NC(=O)/C=C/C3=CC=CC=C3,Active,,,,3.2,EC50,=,3200,nM
3,103436991,10452369,C[C@@H](C1=CC2=C(C=C1)OCCN2CC3CC3)NC(=O)/C=C/C4=CC=CC=C4F,Active,,,,0.06,EC50,=,60,nM
4,103446986,9902845,C[C@@H](C1=CC=CC(=C1)C2=NC=CN=C2)NC(=O)/C=C/C3=CC=CC=C3F,Active,,,,0.37,EC50,=,370,nM
5,103446997,35079367,C[C@@H](C1=CC2=C(C=C1)OCO2)NC(=O)/C=C/C3=CC=CC=C3Cl,Active,,,,0.02,EC50,=,20,nM
6,103447001,10019891,C[C@@H](C1=CC(=CC=C1)N2C=NC=N2)NC(=O)/C=C/C3=CC=CC=C3F,Active,,,,0.33,EC50,=,330,nM
7,103447024,10270128,C[C@@H](C1=CC=CC(=C1)C2=CN=C(C=C2)F)NC(=O)/C=C/C3=CC=CC=C3F,Active,,,,0.01,EC50,=,10,nM
8,103447027,9862544,C[C@@H](C1=CC(=CC=C1)N2C=CC=N2)NC(=O)/C=C/C3=CC=CC=C3F,Active,,,,0.12,EC50,=,120,nM
9,103447040,10154666,C[C@@H](C1=CC=CC(=C1)C2=CC=CC=N2)NC(=O)/C=C/C3=CC=CC=C3F,Active,,,,1.2,EC50,=,1200,nM
10,103447050,11723357,C[C@@H](C1=CC(=CC=C1)N2C=CC=N2)NC(=O)/C=C/C3=CC=CC=C3,Active,,,,1.2,EC50,=,1200,nM
