PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Unspecified,,,,Ratio,=,1.6
2,440109776,155510560,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)C,Unspecified,,,,Ratio,=,0.94
3,440112889,155512598,CC(C)OC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)C,Unspecified,,,,Ratio,=,0.35
4,440113866,155513238,CCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,1.07
5,440116279,155514840,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3=CC=CC=C3)NC(=O)OC4=CC=CC=C4,Unspecified,,,,Ratio,=,0.91
6,440116640,155515060,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC,Unspecified,,,,Ratio,=,0.61
7,440123389,155519554,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC(C)C,Unspecified,,,,Ratio,=,1.04
8,440123864,90377311,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,0.94
9,440125881,155521071,CC(C)(C)OC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,1
10,440126109,71558371,COC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC,Unspecified,,,,Ratio,=,1.37
11,440127135,155521887,CCCCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.06
12,440130895,155524319,CCOC(=O)NC1=C(C=C(C=C1)N(CC2=CC=C(C=C2)F)C/C(=C/C)/C)NC(=O)OCC,Unspecified,,,,Ratio,=,0.85
13,440130989,155524391,CCOC(=O)NC1=C(C=C(C=C1)N(CC=C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,0.3
14,440137568,155528676,CC(C)COC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC(C)C,Unspecified,,,,Ratio,=,0.83
15,440139997,155530262,CCCCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCCCC,Unspecified,,,,Ratio,=,0.77
16,440142986,71558836,CCOC(=O)NC1=C(C=C(C=C1)N(CC2=CCCCC2)CC3=CC=C(C=C3)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.19
17,440145517,155533935,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CC3)NC(=O)OC4CC4,Unspecified,,,,Ratio,=,0.64
18,440147022,155534943,CCOC(=O)NC1=C(C=C(C=C1)N(CC=C(C)C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,0.66
19,440155236,155539626,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CCCC3)NC(=O)OC4CCCC4,Unspecified,,,,Ratio,=,0.21
20,440180314,155549888,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC=C,Unspecified,,,,Ratio,=,0.96
21,440184989,155551763,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OCC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,Ratio,=,1.25
22,440188319,155553070,CCOC(=O)NC1=C(C=C(C=C1)N(C/C=C/C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,0.87
23,440198210,155557008,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CCC3)NC(=O)OC4CCC4,Unspecified,,,,Ratio,=,0.26
24,440203441,155559073,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,Ratio,=,0.97
25,440203805,71558689,CCOC(=O)NC1=C(C=C(C=C1)N(CC#CC2=CC=CC=C2)CC3=CC=C(C=C3)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.26
26,440208332,155560988,CCCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCCC,Unspecified,,,,Ratio,=,0.78
27,440210622,155561917,C=CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC=C,Unspecified,,,,Ratio,=,0.67
28,440220538,155565833,CCCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.07
29,440224101,155567226,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,1.16
