PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Unspecified,,,,Activity,=,40.21,%
2,404668024,73670743,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)CN2CCC3=CC=CC=C3C2,Unspecified,,,,Activity,=,5.11,%
3,404668183,73669722,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC(=CC=C3)C(F)(F)F,Unspecified,,,,Activity,=,149.12,%
4,404668366,73669560,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=CC=C3F,Unspecified,,,,Activity,=,43.96,%
5,404668531,73669725,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CN=CC=C3,Unspecified,,,,Activity,=,42.64,%
6,404668532,145960959,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)C2CCCCN2,Unspecified,,,,Activity,=,0.83,%
7,404668620,73671696,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC(=CC=C3)F,Unspecified,,,,Activity,=,151.94,%
8,404668625,73669899,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)N3CCCCC3,Unspecified,,,,Activity,=,0.02,%
9,404669060,73671695,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(=O)CC2,Unspecified,,,,Activity,=,110.34,%
10,404669105,73669903,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F,Unspecified,,,,Activity,=,52.06,%
11,404669930,73669724,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=C(C=C3)C(F)(F)F,Unspecified,,,,Activity,=,41.2,%
12,404670189,73669720,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC(=CC=C3)Cl,Unspecified,,,,Activity,=,168.2,%
13,404670337,73669561,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=CC=C3C(F)(F)F,Unspecified,,,,Activity,=,-47.16,%
14,404670512,73670742,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)CN2CCCC3=CC=CC=C32,Unspecified,,,,Activity,=,138.84,%
15,404670808,73669559,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)(C)C,Unspecified,,,,Activity,=,100,%
16,404671157,73669898,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)N3CCOCC3,Unspecified,,,,Activity,=,1.13,%
17,404671189,145962779,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=CC=C3,Unspecified,,,,Activity,=,0.63,%
18,404671236,73669902,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCN(CC2)C3=CC=CC=N3,Unspecified,,,,Activity,=,0.28,%
19,404671625,73669558,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCCCC2,Unspecified,,,,Activity,=,69.83,%
20,404671952,73669897,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=NC=C3,Unspecified,,,,Activity,=,29.74,%
21,404672053,73669723,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC=C(C=C3)Cl,Unspecified,,,,Activity,=,88.34,%
22,404672191,123575597,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)CN2CCCCC2,Unspecified,,,,Activity,=,10.34,%
23,404672282,73670060,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F,Unspecified,,,,Activity,=,88.34,%
