PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,,0.35,EC50,=,350,nM
2,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Unspecified,,,,,Efficacy,=,210,%
3,404668620,73671696,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC(=CC=C3)F,Active,,,,0.22,EC50,=,220,nM
4,404668620,73671696,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)C3=CC(=CC=C3)F,Unspecified,,,,,Efficacy,=,180,%
5,404669060,73671695,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(=O)CC2,Active,,,,0.13,EC50,=,130,nM
6,404669060,73671695,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(=O)CC2,Unspecified,,,,,Efficacy,=,148,%
7,404670512,73670742,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)CN2CCCC3=CC=CC=C32,Active,,,,0.33,EC50,=,330,nM
8,404670512,73670742,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)CN2CCCC3=CC=CC=C32,Unspecified,,,,,Efficacy,=,160,%
9,404670808,73669559,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)(C)C,Active,,,,1.58,EC50,=,1580,nM
10,404670808,73669559,CC1=CC(=CC(=C1NC(=O)CC(C)(C)C)C)N2CCC(CC2)(C)C,Unspecified,,,,,Efficacy,=,210,%
