PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103724957,7345745,CN\1C2=CC=CC=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.027,EC50,=,27,nM
2,103724958,46230164,CN\1C2=C(C=CC=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4)F,Active,,,,0.38,EC50,=,380,nM
3,103724959,46230165,CN\1C2=C(C=CC=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4)C(F)(F)F,Active,,,,0.091,EC50,=,91,nM
4,103724960,46230166,CN\1C2=C(C=C(C=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4)F)F,Active,,,,0.16,EC50,=,160,nM
5,103725023,46230204,CN\1C2=C(C=CC(=C2)C(F)(F)F)S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.053,EC50,=,53,nM
6,103725024,46230205,CN\1C2=C(C=C(C=C2)F)S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.028,EC50,=,28,nM
7,103725025,46230206,CN\1C2=C(C=C(C=C2)C(F)(F)F)S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.16,EC50,=,160,nM
8,103725026,46230207,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.025,EC50,=,25,nM
9,103725027,46230208,CN\1C2=C(C(=CC=C2)F)S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.098,EC50,=,98,nM
10,103725100,46230260,CN\1C2=CC(=C(C=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4)F)F,Active,,,,0.021,EC50,=,21,nM
11,103725101,46230261,CN\1C2=CC=CC(=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4)C(F)(F)F,Active,,,,2.08,EC50,=,2080,nM
12,103725102,46230262,CCN\1C2=CC=CC=C2S/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,0.57,EC50,=,570,nM
13,103725103,46230263,CN\1C2=CC=CC=C2S/C1=N\N(C)C(=O)C34CC5CC(C3)CC(C5)C4,Unspecified,,,,10,EC50,>,10000,nM
14,103725104,46230264,CN\1C2=CC=CC=C2O/C1=N\NC(=O)C34CC5CC(C3)CC(C5)C4,Active,,,,2.7,EC50,=,2700,nM
15,103725172,46230311,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3CCCCC3,Active,,,,0.028,EC50,=,28,nM
16,103725173,46230312,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3CCCC3,Active,,,,0.062,EC50,=,62,nM
17,103725174,46230313,CC(C)(C)C(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Active,,,,0.71,EC50,=,710,nM
18,103725175,46230314,CC(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Unspecified,,,,10,EC50,>,10000,nM
19,103725176,46196552,CC(C)(C)CC(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Active,,,,0.049,EC50,=,49,nM
20,103725177,46196553,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)CC3CCCC3,Active,,,,0.044,EC50,=,44,nM
21,103725243,46230355,CC(C)CCC(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Active,,,,0.22,EC50,=,220,nM
22,103725244,46230356,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3CCCO3,Active,,,,5.57,EC50,=,5570,nM
23,103725245,46230357,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3CCOC3,Active,,,,6.73,EC50,=,6730,nM
24,103725246,46230358,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3=CC(=CC=C3)F,Active,,,,0.1,EC50,=,100,nM
25,103725247,46230359,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3=CC=C(C=C3)F,Active,,,,0.044,EC50,=,44,nM
26,103725312,46230406,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3=CC=CC=C3,Active,,,,0.26,EC50,=,260,nM
27,103725313,46230407,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)C3=CC=CO3,Active,,,,0.5,EC50,=,500,nM
28,103725314,46230408,CN\1C2=C(C=C(C=C2)OC(F)(F)F)S/C1=N\NC(=O)OC3CCCC3,Active,,,,0.029,EC50,=,29,nM
29,103725315,46196554,CC(C)OC(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Active,,,,0.095,EC50,=,95,nM
30,103725316,46230409,CC(C)(C)OC(=O)N/N=C\1/N(C2=C(S1)C=C(C=C2)OC(F)(F)F)C,Active,,,,0.023,EC50,=,23,nM
