PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103562093,9903497,C1=CC(=C(C=C1C(=O)NC2=CN=C(C=C2)Cl)F)F,Unspecified,,,,10,EC50,>,10000,nM
2,242422031,3111211,CC1=CC(=C(C(=C1)C)NC(=O)C2CC3CCC2C3)C,Active,,,,1.6,EC50,=,1600,nM
3,404699479,145981605,CS(=O)(=O)C1=CC=CC(=C1)[C@H](CO)NC(=O)C2=C(C=CC(=C2)S(F)(F)(F)(F)F)OC3=CC=CC=C3,Unspecified,,,,10,EC50,>,10000,nM
4,404701533,145982955,C1CC(C[C@@H]([C@H]1C2=CC=CC=C2)C(=O)N[C@@H](CO)C3=CC(=CC=C3)C(F)(F)F)(F)F,Active,,,,0.02,EC50,=,20,nM
5,404712416,145990268,C[C@@H](C1=CC=CC=C1)NC(=O)[C@H]2CC(CC[C@@H]2C3=CC=CC=C3)(F)F,Active,,,,4,EC50,=,4000,nM
6,404713503,145990965,C[C@@H](C1=CC(=CC=C1)S(=O)(=O)C)NC(=O)C2=CC(=C(C=C2OC3=CC=CC=C3)F)F,Active,,,,0.16,EC50,=,160,nM
7,404716907,145993164,C1CC(C[C@@H]([C@H]1C2=CC=CC=C2)C(=O)N[C@@H](CO)C3=CC(=CC=C3)Cl)(F)F,Active,,,,0.1,EC50,=,100,nM
